,original_country_name,original_ccode,original_facility_name,Coordinates,start_date,Latitude,Longitude,geometry
84,North Korea,731,Radio Chemical Laboratory (Yongbyon),39.797407.125.7548637,-99,39.797407,125.7548637,POINT (39.797407 125.7548637)
85,North Korea,731,Isotope Production Laboratory,39.7976130565985. 125.75486369799856,-99,39.7976130565985, 125.75486369799856,POINT (39.7976130565985 125.75486369799856)
86,Norway,385,Plutonium Laboratory at Kjeller,59.9739757.11.0465607,-99,59.9739757,11.0465607,POINT (59.9739757 11.0465607)
87,Norway,385,Kjeller Pilot Uranium Reprocessing Plant,59.9739757.11.0465607,-99,59.9739757,11.0465607,POINT (59.9739757 11.0465607)
88,Pakistan,770,Chaklala,33.6030584.73.0936509,1974,33.6030584,73.0936509,POINT (33.6030584 73.0936509)
89,Pakistan,770,Chashma Reprocessing Facility,32.38783404745864. 71.46836036157238,1974,32.38783404745864, 71.46836036157238,POINT (32.38783404745864 71.46836036157238)
90,Pakistan,770,Kahuta- KRL (A.Q. Khan Research Laboratories),33.5896138.73.3885526,1974,33.5896138,73.3885526,POINT (33.5896138 73.3885526)
91,Pakistan,770,Experimental Reprocessing Plant at Pakistan Institute of Nuclear Science and Technology (PINSTECH),33.65303430000001.73.2586063,1971,33.65303430000001,73.2586063,POINT (33.65303430000001 73.2586063)
92,Pakistan,770,New Labs at PINSTECH,33.653150380723396. 73.25856338251063,1980,33.653150380723396, 73.25856338251063,POINT (33.653150380723396 73.25856338251063)
93,Pakistan,770,Sihala,33.5440724.73.19691080000001,1976,33.5440724,73.19691080000001,POINT (33.5440724 73.19691080000001)
94,Romania,360,Pitesti Nuclear Research Institute,44.8564798.24.8691824,1981,44.8564798,24.8691824,POINT (44.8564798 24.8691824)
95,Russia,365,"Angarsk ElectroChemical Combine, Diffusion",52.5155702.103.91716,1949,52.5155702,103.91716,POINT (52.5155702 103.91716)
96,Russia,365,"Angarsk ElectroChemical Combine, Centrifuge",52.5155702.103.91716,-99,52.5155702,103.91716,POINT (52.5155702 103.91716)
97,Russia,365,Dneproetrovsk Physicochemical Institute,48.464717.35.046183,1941,48.464717,35.046183,POINT (48.464717 35.046183)
98,Russia,365,Institute A (near Sukhumi),43.0015252.41.0234153,-99,43.0015252,41.0234153,POINT (43.0015252 41.0234153)
99,Russia,365,Institute G (near Sukhumi),43.0015252.41.0234153,1945,43.0015252,41.0234153,POINT (43.0015252 41.0234153)
100,Russia,365,Krasnoyarsk-45 Electronchemical Plant - Diffusion (Zelenogorsk in Laughter),56.11014170000001.94.5105514,1949,56.11014170000001,94.5105514,POINT (56.11014170000001 94.5105514)
101,Russia,365,Krasnoyarsk-45 Electronchemical Plant - Centrifuge (Zelenogorsk in Laughter),56.11014170000001.94.5105514,-99,56.11014170000001,94.5105514,POINT (56.11014170000001 94.5105514)
102,Russia,365,Krasnoyarsk-26,56.2602634.93.5356304,1950,56.2602634,93.5356304,POINT (56.2602634 93.5356304)
103,Russia,365,Sverdlovsk Laboratory of Electric Phenomena,56.8430993.60.64540859999999,1943,56.8430993,60.64540859999999,POINT (56.8430993 60.64540859999999)
